State,Year,Climate_Change_Disasters,Min_Temp,Max_Temp,Average_Temp,PM2.5,Health_Quotient,HDI,Rural_Poppulation,Min_Rural_CVD,Max_Rural_CVD,Urban_Poppulation,Min_Urban_CVD,Max_Urban_CVD
Uttarakhand,2020,1,18.08,28.58,23.33,31,44.21,0.689,8164477.725,130631.644,604171.352,3537511.275,35375.113,466951.488
Uttarakhand,2021,2,16.5,28.25,22.38,34.5,44.8,0.694,8287161.991,132594.592,613249.987,3590668.009,35906.68,473968.177
Uttarakhand,2022,4,15.67,27.99,21.83,77,45.39,0.698,8393331,134293.296,621106.494,3636669,36366.69,480040.308
Uttar Pradesh,2015,4,24.42,34.33,29.38,85.4,28.14,0.572,166367790.3,2661884.644,12315968.01,47665131.73,476651.317,6291797.388
Uttar Pradesh,2016,2,24.25,33.83,29.04,93.9,33.69,0.579,169109260.5,2705748.168,12518915.11,48450575.48,484505.755,6395475.963
Uttar Pradesh,2017,4,24.5,35,29.75,89.2,28.61,0.589,171840173.5,2749442.776,12721080.66,49232994.51,492329.945,6498755.276
Uttar Pradesh,2018,1,24.08,34,29.04,89,23.58,0.591,174559686.6,2792954.985,12922402.3,50012147.43,500121.474,6601603.461
Uttar Pradesh,2019,0,23.83,33.67,28.75,91.1,24.73,0.594,177266986.7,2836271.787,13122819.83,50787801.29,507878.013,6703989.77
Uttar Pradesh,2020,1,25.06,33.42,29.24,88.3,30.57,0.6,179961290.4,2879380.646,13322275.26,51559731.6,515597.316,6805884.571
Uttar Pradesh,2021,2,23.5,33.67,28.58,89.1,25.06,0.605,182641839.8,2922269.436,13520712.47,52327721.24,523277.212,6907259.203
Uttar Pradesh,2022,4,24.23,33.99,29.11,72,19.55,0.609,185230590,2963689.44,13712353.92,53069410,530694.1,7005162.12
West Bengal,2015,2,25.08,33.83,29.46,59.4,57.87,0.617,65155646.55,1042490.345,4821517.844,30478650.45,304786.505,4023181.86
West Bengal,2016,2,25.17,34.33,29.75,61.4,58.25,0.625,65882025.44,1054112.407,4875269.883,30818437.56,308184.376,4068033.758
West Bengal,2017,2,24.75,33.58,29.17,59.1,57.17,0.635,66601812.08,1065628.993,4928534.094,31155140.92,311551.409,4112478.602
West Bengal,2018,1,25.83,34.83,30.33,64.5,58.36,0.638,67314909.71,1077038.555,4981303.319,31488715.29,314887.153,4156510.418
West Bengal,2019,0,26.08,34.83,30.46,58.7,58.52,0.641,68021227.73,1088339.644,5033570.852,31819118.27,318191.183,4200123.612
West Bengal,2020,1,26,33.33,29.67,66,59.05,0.647,68720682.33,1099530.917,5085330.492,32146310.67,321463.107,4243313.008
West Bengal,2021,1,24,32.83,28.42,60.4,59.22,0.653,69413196.53,1110611.144,5136576.543,32470256.47,324702.565,4286073.854
West Bengal,2022,3,25.27,33.94,29.61,91,59.38,0.657,70344225,1125507.6,5205472.65,32905775,329057.75,4343562.3
Andaman & Nicobar islands,2015,0,28.25,29.08,28.67,15.4,47.49,0.72,242328.31,3877.253,17932.295,146641.69,1466.417,19356.703
Andaman & Nicobar islands,2016,2,28.08,29.08,28.58,16.9,46.18,0.724,243586.77,3897.388,18025.421,147403.23,1474.032,19457.226
Andaman & Nicobar islands,2017,0,27.83,28.75,28.29,14.7,50,0.735,244827.163,3917.235,18117.21,148153.837,1481.538,19556.306
Andaman & Nicobar islands,2018,0,28.08,29.17,28.63,16.2,55.74,0.738,246048.866,3936.782,18207.616,148893.134,1488.931,19653.894
Andaman & Nicobar islands,2019,0,27.92,28.75,28.33,16.3,49.89,0.741,247251.879,3956.03,18296.639,149621.121,1496.211,19749.988
Andaman & Nicobar islands,2020,1,25.83,29,27.42,16.1,59.72,0.746,248436.202,3974.979,18384.279,150337.798,1503.378,19844.589
Andaman & Nicobar islands,2021,1,26.42,28.08,27.25,16.2,52.75,0.752,249603.081,3993.649,18470.628,151043.919,1510.439,19937.797
Andaman & Nicobar islands,2022,1,27.49,28.85,28.17,17,45.78,0.756,254121.7,4065.947,18805.006,153778.3,1537.783,20298.736
Chandigarh,2015,0,18.25,31.17,24.71,51,58.35,0.732,30314.9,485.038,2243.303,1072045.1,10720.451,141509.953
Chandigarh,2016,1,17.67,30.92,24.29,56.8,67.08,0.758,30629.885,490.078,2266.611,1083184.115,10831.841,142980.303
Chandigarh,2017,0,17.42,31.33,24.38,51.5,67.53,0.77,30941.763,495.068,2289.69,1094213.238,10942.132,144436.147
Chandigarh,2018,0,18.67,30.58,24.63,54.1,64.88,0.772,31250.505,500.008,2312.537,1105131.495,11051.315,145877.357
Chandigarh,2019,1,17.75,29.33,23.54,49.4,73.38,0.776,31556.085,504.897,2335.15,1115937.915,11159.379,147303.805
Chandigarh,2020,1,20.33,31.33,25.83,50.4,62.53,0.787,31858.503,509.736,2357.529,1126632.498,11266.325,148715.49
Chandigarh,2021,1,20,32.17,26.08,51.3,51.68,0.794,32157.703,514.523,2379.67,1137213.298,11372.133,150112.155
Chandigarh,2022,0,20.29,32.33,26.31,128,40.83,0.8,33550,536.8,2482.7,1186450,11864.5,156611.4
Dadra & Nagar Haveli & Daman & diu,2015,0,24.75,33.92,29.33,31,45.41,0.661,277075.779,4433.212,20532.546,390742.221,3907.422,51577.973
Dadra & Nagar Haveli & Daman & diu,2016,0,24.42,33.17,28.79,29.9,60.73,0.647,285711.914,4571.391,21172.522,402921.086,4029.211,53185.583
Dadra & Nagar Haveli & Daman & diu,2017,0,25.5,33.67,29.58,35,81.01,0.658,294439.624,4711.034,21819.284,415229.376,4152.294,54810.278
Dadra & Nagar Haveli & Daman & diu,2018,0,26,33.33,29.67,34.5,82.82,0.66,303253.689,4852.059,22472.446,427659.311,4276.593,56451.029
Dadra & Nagar Haveli & Daman & diu,2019,0,24.92,32.42,28.67,32.7,69.72,0.663,312149.92,4994.399,23131.696,440205.08,4402.051,58107.071
Dadra & Nagar Haveli & Daman & diu,2020,1,24.33,31.42,27.88,32.6,66.2,0.664,321124.126,5137.986,23796.724,452860.874,4528.609,59777.635
Dadra & Nagar Haveli & Daman & diu,2021,1,25.42,32.08,28.75,32.7,62.68,0.668,330171.869,5282.75,24467.202,465620.131,4656.201,61461.857
Dadra & Nagar Haveli & Daman & diu,2022,0,25.53,31.78,28.65,80,59.16,0.67,363586.1,5817.378,26942.882,519913.9,5199.139,68628.635
Jammu & Kashmir,2015,0,17.5,31.75,24.63,16.3,53.52,0.672,9887992.939,158207.887,731711.478,3728081.061,37280.811,492106.7
Jammu & Kashmir,2016,2,16.83,32.33,24.58,21.2,60.35,0.672,10083189.69,161331.035,746156.037,3801676.311,38016.763,501821.273
Jammu & Kashmir,2017,2,17.58,32.08,24.83,17.5,62.37,0.682,10278259.35,164452.15,760591.192,3875223.645,38752.236,511529.521
Jammu & Kashmir,2018,0,18.17,32.08,25.13,17.9,37.45,0.685,10473124.96,167569.999,775011.247,3948694.042,39486.94,521227.614
Jammu & Kashmir,2019,0,17,29.83,23.42,15.3,46.99,0.688,10667714.61,170683.434,789410.881,4022060.395,40220.604,530911.972
Jammu & Kashmir,2020,1,21.33,32.42,26.88,15.4,57.38,0.692,10861955.68,173791.291,803784.72,4095295.324,40952.953,540578.983
Jammu & Kashmir,2021,1,19.08,31.58,25.33,16.9,67.77,0.697,11055777.73,176892.444,818127.552,4168372.27,41683.723,550225.14
Jammu & Kashmir,2022,2,19.35,31.56,25.45,14,78.16,0.701,11168956,178703,826502.744,4211044,42110.44,555857.808
Puducherry,2015,0,27.17,30.75,28.96,25.5,49.26,0.729,449674.729,7194.796,33275.93,970201.271,9702.013,128066.568
Puducherry,2016,0,26.83,31.17,29,30.7,50.83,0.722,463690.921,7419.055,34313.128,1000442.079,10004.421,132058.354
Puducherry,2017,0,27.17,31.17,29.17,30.1,36.2,0.734,477855.012,7645.68,35361.271,1031001.988,10310.02,136092.262
Puducherry,2018,0,26.92,31,28.96,29.8,49.26,0.736,492159.718,7874.555,36419.819,1061865.283,10618.653,140166.217
Puducherry,2019,0,26.75,30.75,28.75,27.5,46.54,0.74,506598.071,8105.569,37488.257,1093016.93,10930.169,144278.235
Puducherry,2020,1,26,30.5,28.25,26.1,47.48,0.743,521162.787,8338.605,38566.046,1124441.213,11244.412,148426.24
Puducherry,2021,1,25.33,30.75,28.04,28.7,44.76,0.748,535846.582,8573.545,39652.647,1156122.418,11561.224,152608.159
Puducherry,2022,0,25.03,30.75,27.89,37,42.04,0.751,538390,8614.24,39840.86,1161610,11616.1,153332.52
